Targets,Receptions,Receiving_Yards,Yards_per_Reception,Yards_per_Target,Fantasy_Points,Tested_Fantasy_Points,Predicted_Fantasy_Points,Name
10.5,8.5,90.25,10.64,8.645000000000001,30.2,30.2,8.896900136717107,Michael Thomas
11.272727272727273,9.454545454545455,112.9090909090909,11.910909090909088,9.957272727272727,4.8,4.8,9.098089389963723,Michael Thomas
11.357142857142858,9.5,110.85714285714286,11.562142857142856,9.652142857142858,19.6,19.6,8.187430718991246,Michael Thomas
11.733333333333333,9.666666666666666,112.53333333333333,11.546666666666665,9.542,3.7,3.7,10.217320855665372,Michael Thomas
12.5,8.0,110.5,13.815000000000001,9.415000000000001,30.6,30.6,8.77370107477497,Keenan Allen
14.0,9.666666666666666,134.66666666666666,13.903333333333334,9.863333333333335,4.8,4.8,11.79418597983765,Keenan Allen
11.75,8.5,113.0,12.8275,9.797500000000001,1.8,1.8,9.299417512336783,Keenan Allen
9.833333333333334,6.666666666666667,83.83333333333333,12.051666666666668,7.948333333333334,6.1,6.1,9.154141082691817,Keenan Allen
9.333333333333334,6.0,73.0,12.05111111111111,7.615555555555555,8.6,8.6,10.67968051667533,Keenan Allen
9.5,6.2,72.5,11.696,7.4719999999999995,13.1,13.1,8.590340927219287,Keenan Allen
9.266666666666667,6.333333333333333,74.46666666666667,11.931333333333331,8.186666666666666,14.2,14.2,9.458268325967293,Keenan Allen
13.0,8.0,111.0,13.88,8.54,4.0,4.0,8.54876087741688,DeAndre Hopkins
10.5,6.5,75.5,10.940000000000001,6.77,6.7,6.7,7.521176781646427,DeAndre Hopkins
9.333333333333334,6.333333333333333,72.66666666666667,11.016666666666667,7.703333333333333,2.1,2.1,8.66559697003262,DeAndre Hopkins
8.8,6.2,69.4,10.764,7.847999999999999,7.5,7.5,9.896729161034692,DeAndre Hopkins
9.333333333333334,6.666666666666667,67.0,9.988333333333333,7.303333333333332,16.6,16.6,8.971934931659597,DeAndre Hopkins
7.5,5.0,67.0,13.29,10.15,12.2,12.2,7.221828673412624,Julian Edelman
8.333333333333334,5.666666666666667,65.33333333333333,11.813333333333333,8.833333333333334,3.0,3.0,9.657548702808018,Julian Edelman
10.0,7.0,73.66666666666667,10.512222222222222,7.737777777777778,9.9,9.9,9.380132926639503,Julian Edelman
10.0,6.8,71.6,10.520999999999999,7.494,9.3,9.3,9.559973189949691,Julian Edelman
10.384615384615385,6.923076923076923,77.6923076923077,11.26076923076923,7.711538461538462,0.9,0.9,8.988345081466655,Julian Edelman
10.0,6.571428571428571,72.78571428571429,10.777857142857142,7.289285714285714,9.2,9.2,8.876550039282504,Julian Edelman
11.0,6.0,31.0,5.17,2.82,22.6,22.6,8.908998378214866,Julio Jones 
9.25,5.75,79.25,13.8425,8.7675,4.2,4.2,9.524539268534836,Julio Jones 
8.8,5.2,71.8,13.874,8.214,10.8,10.8,8.522673246243947,Julio Jones 
9.923076923076923,6.3076923076923075,88.46153846153847,14.783076923076921,9.075384615384614,16.6,16.6,9.577171650726221,Julio Jones 
8.6,6.2,75.4,11.936,8.812000000000001,14.7,14.7,10.175651660643537,Allen Robinson
8.875,5.875,66.5,10.8475,7.445,8.6,8.6,9.311737014603054,Allen Robinson
10.333333333333334,7.666666666666667,89.0,13.25,8.783333333333333,17.9,17.9,8.317319507424035,Cooper Kupp
11.5,8.0,97.0,13.2975,8.605,17.7,17.7,8.740074337967556,Cooper Kupp
12.6,8.2,101.0,13.238,8.260000000000002,1.7,1.7,8.511216896633972,Cooper Kupp
11.0,7.285714285714286,81.71428571428571,11.252857142857142,7.1971428571428575,28.0,28.0,7.6516841139861125,Cooper Kupp
10.6,7.4,81.2,10.866,7.534000000000001,1.0,1.0,9.370203821642939,Tyler Boyd
9.0,5.428571428571429,61.357142857142854,10.392142857142856,6.523571428571429,24.8,24.8,9.537458424796792,Tyler Boyd
7.666666666666667,4.333333333333333,47.666666666666664,12.86,8.959999999999999,16.4,16.4,9.321121534507162,Robert Woods
9.4,6.2,71.0,12.16,8.628,7.6,7.6,9.765016636432195,Robert Woods
